Abkhaz	аҧсуа	ab
Afar	Afaraf	aa
Afrikaans	Afrikaans	af
Akan, Twi-Fante	Akan	ak
Albanian	Shqip	sq
Amharic	አማርኛ	am
Arabic	العربية	ar
Aragonese	Aragonés	an
Armenian	Հայերեն	hy
Assamese	অসমীয়া	as
Avaric	авар мацӀ, магӀарул мацӀ	av
Avestan	avesta	ae
Aymara	aymar aru	ay
Azerbaijani	azərbaycan dili	az
Bambara	bamanankan	bm
Bashkir	башҡорт теле	ba
Basque	euskara, euskera	eu
Belarusian	Беларуская	be
Bengali	বাংলা	bn
Bihari	भोजपुरी	bh
Bislama	Bislama	bi
Bosnian	bosanski jezik	bs
Breton	brezhoneg	br
Bulgarian	български език	bg
Burmese	ဗမာစာ	my
Catalan	Català	ca
Chamorro	Chamoru	ch
Chechen	нохчийн мотт	ce
Chichewa; Chewa; Nyanja	chiCheŵa, chinyanja	ny
Chinese	中文 (Zhōngwén), 汉语, 漢語	zh
Chuvash	чӑваш чӗлхи	cv
Cornish	Kernewek	kw
Corsican	corsu, lingua corsa	co
Cree	ᓀᐦᐃᔭᐍᐏᐣ	cr
Croatian	hrvatski	hr
Czech	česky, čeština	cs
Danish	dansk	da
Divehi; Dhivehi; Maldivian;	ދިވެހި	dv
Dutch	Nederlands, Vlaams	nl
Dzongkha	རྫོང་ཁ	dz
English	English	en
Esperanto	Esperanto	eo
Estonian	eesti, eesti keel	et
Ewe	Eʋegbe	ee
Faroese	føroyskt	fo
Fijian	vosa Vakaviti	fj
Finnish	suomi, suomen kieli	fi
French	français, langue française	fr
Fula	Fulfulde, Pulaar, Pular	ff
Galician	Galego	gl
Georgian	ქართული	ka
German	Deutsch	de
Greek, Modern	Ελληνικά	el
Guaraní	Avañe'ẽ	gn
Gujarati	ગુજરાતી	gu
Haitian; Haitian Creole	Kreyòl ayisyen	ht
Hausa	Hausa, هَوُسَ	ha
Hebrew	עברית	he
Herero	Otjiherero	hz
Hindi	हिन्दी, हिंदी	hi
Hiri Motu	Hiri Motu	ho
Hungarian	Magyar	hu
Icelandic	Íslenska	is
Ido	Ido	io
Igbo	Asụsụ Igbo	ig
Indonesian	Bahasa Indonesia	id
Interlingua	Interlingua	ia
Interlingue	Originally called Occidental; then Interlingue after WWII[citation needed]	i.e.
Inuktitut	ᐃᓄᒃᑎᑐᑦ	iu
Inupiaq	Iñupiaq, Iñupiatun	ik
Irish	Gaeilge	ga
Italian	Italiano	it
Japanese	日本語 (んご)	ja
Javanese	basa Jawa	jv
Kalaallisut, Greenlandic	kalaallisut, kalaallit oqaasii	kl
Kannada	ಕನ್ನಡ	kn
Kanuri	Kanuri	kr
Kashmiri	कश्मीरी	ks
Kazakh	Қазақ тілі	kk
Khmer, Cambodian	ភាសាខ្មែរ	km
Kikuyu, Gikuyu	Gĩkũyũ	ki
Kinyarwanda	Ikinyarwanda	rw
Kirghiz	кыргыз тили	ky
Kirundi	kiRundi	rn
Komi	коми кыв	kv
Kongo	KiKongo	kg
Korean	한국어(韓國語), 조선어 (韓國語), 조선말 (朝鮮語)	ko
Kurdish	Kurdî, كوردی	ku
Kwanyama, Kuanyama	Kwanyama	kj
Lao	ພາສາລາວ	lo
Latin	latine, lingua Latina	la
